,avg of sum,avg of ana,avg of cata
865,2104.089728,173.4353696,170.3136145
866,2104.070116,200,200.1614119
867,2104.152425,193.2731279,192.6426158
868,2104.343405,186.6027524,185.1897725
869,2104.650195,179.9904076,177.8049351
870,2105.080555,173.4377077,170.4902636
871,2105.037689,200,200.3468784
872,2105.096062,193.2736742,192.8269235
873,2105.26238,186.6038272,185.3728597
874,2105.543737,179.9919926,177.9867367
875,2105.947842,173.4397838,170.6707109
876,2105.881427,200,200.5348788
877,2105.915557,193.2741533,193.013691
878,2106.056897,186.604768,185.5583324
879,2106.312493,179.9933772,178.1708493
880,2106.690005,173.4415938,170.8533946
881,2106.599941,200,200.7238503
882,2106.609725,193.2745645,193.2013685
883,2106.725978,186.6055736,185.7446543
884,2106.9557,179.9945599,178.3557507
885,2107.306501,173.4431357,171.036807
886,2107.192877,200,200.9122941
887,2107.178404,193.2749077,193.38847
888,2107.269662,186.6062439,185.9303526
889,2107.473603,179.9955407,178.5399818
890,2107.797788,173.4444099,171.2195031
891,2107.660868,200,201.0987832
892,2107.622412,193.2751833,193.5735809
893,2107.688954,186.6067799,186.1140258
894,2107.867402,179.9963211,178.7221544
895,2108.165267,173.4454185,171.4001089
896,2108.005486,200,201.2819698
897,2107.943491,193.2753923,193.7553658
898,2107.985775,186.6071833,186.2943509
899,2108.139201,179.9969041,178.9009586
900,2108.41123,173.4461657,171.5773279
901,2108.229178,200,201.4605917
902,2108.14425,193.2755361,193.9325743
903,2108.162899,186.6074571,186.4700899
904,2108.291944,179.997294,179.075169
905,2108.538801,173.4466574,171.7499474
906,2108.335211,200,201.633478
907,2108.228104,193.2756163,194.1040467
908,2108.223895,186.6076049,186.6400947
909,2108.32936,179.9974964,179.2436495
910,2108.551869,173.4469011,171.916844
911,2108.327606,200,201.7995531
912,2108.199212,193.2756352,194.2687183
913,2108.173061,186.6076311,186.8033116
914,2108.25589,179.9975179,179.405358
915,2108.455024,173.4469059,172.0769872
916,2108.211075,200,201.9578407
917,2108.062405,193.2755954,194.4256229
918,2108.015355,186.6075409,186.9587851
919,2108.076624,179.9973665,179.5593495
