ticks, muscleMass, averageAnabolic, averageCatabolic 
1,922.5089409165236,59.06736227516025,57.77985096179628 
2,922.6615146590171,53.908010519624334,53.47887617870123 
3,921.9886213543547,51.13969419866853,52.47391182989443 
4,921.1606493606465,50.4993308257844,52.175437897930095 
5,920.2648497706988,50.22787625645277,52.050699846839926 
6,920.8908088201047,60.20273857144606,58.58571078925541 
7,921.3362871485228,55.12008023848437,54.03625978103873 
8,921.037199206614,51.72993385235363,52.29949480377214 
9,920.182223139789,50.37046448139365,52.103862248564425 
10,919.2753416541376,50.175388040159426,52.02108411578932 
11,919.7347444696065,58.177527389769715,57.01072874971636 
12,919.7946881013081,53.24737635452837,53.03801268007169 
13,919.0694788441846,50.79193645178264,52.246236509135 
14,918.2141707676273,50.321021845419914,52.05763708294448 
15,917.2940722475358,50.135339046257755,52.009036998206355 
16,917.7907900057573,58.67778142618008,57.41197557612049 
17,917.9687988748404,53.5584202873056,53.09966164744086 
18,917.2322464252245,50.79747413697355,52.273742406926985 
19,916.3610878186706,50.335574049504956,52.10221431055535 
20,915.4474289647007,50.16571171144694,52.03188360706525 
21,916.0150263052592,59.26783668584566,57.834453565533735 
22,916.3116468470807,54.12542504313663,53.403707586429604 
23,915.7000687352318,51.058500211607885,52.28382199727244 
24,914.855058408734,50.33572202481001,52.05804709627868 
25,913.9253597978809,50.11111602251811,52.01158478713408 
26,914.4334402718536,58.75950887963997,57.479743830081624 
27,914.6998204093098,53.7861677007733,53.148165646174434 
28,913.9560991785784,50.74442634885617,52.24568591627537 
29,913.07511423068,50.30163612913692,52.09547958528946 
30,912.1546319545831,50.15073329793221,52.030481361609255 
31,912.5533225872097,57.96671634874522,56.934165513407734 
32,912.5539225255878,53.212475602785226,53.131740460239314 
33,911.8388765621884,50.81299140553459,52.26115781648103 
34,910.9680754901502,50.286275183849405,52.0636981685503 
35,910.0394779720885,50.10104246746808,52.00065960385722 
36,910.623623650426,59.274061046183206,57.826248281638264 
37,910.9187399155161,53.92029416910032,53.22511086330876 
38,910.2068986759543,50.94059102518493,52.37073752478993 
39,909.3765714840906,50.41942874344394,52.111333305271735 
40,908.4712636100298,50.16736997925003,52.01875366227624 
41,909.0409403202628,59.30247385756413,57.85575399765825 
42,909.3236988503155,54.12580769927915,53.42348916613078 
43,908.6731929138091,51.15505915145884,52.44291026007688 
44,907.873966124628,50.51569278065075,52.138631434407976 
45,906.9928106019762,50.22633832595987,52.03197000220487 
46,907.4363715528152,57.878300776365165,56.75838064380844 
47,907.4015181007792,52.95596391199899,52.96115637563751 
48,906.6724681633642,50.751653349323675,52.23516254706511 
49,905.806721151605,50.291726465027565,52.06993418835686 
50,904.8916525637437,50.12467396778047,52.00929818190218 
51,905.3855709604944,58.61839189015151,57.37849629823172 
52,905.5965569295745,53.61318709402641,53.10480416327964 
